id,title,chunk-id,content,content_dense_vector,content_sparse_vector,doc_id
016,李白,1,技能介绍-机制: 李白依赖普攻或技能叠加剑气解锁大招，进场前需要提前规划一技能影子位置。知识点: 影子既是进攻起点，也是撤退保障，不能随意丢在危险区域。,,,D006
017,李白,2,打野节奏: 李白前期需要稳定刷野到关键等级，再通过边路或中路寻找残血目标。若敌方入侵强，应与辅助沟通保护野区，避免被打断发育节奏。,,,D006
018,李白,3,团战连招: 李白常用一技能两段接近目标，穿插普攻或二技能规避伤害，释放大招后利用一技能返回。团战中应等待敌方控制技能交出后再切入。,,,D006
019,韩信,1,技能介绍-位移: 韩信拥有多段位移，适合快速刷野、反野和带线牵制。操作重点是利用位移制造人数差，而不是盲目正面开团。,,,D007
020,韩信,2,打野路线: 韩信通常需要快速到达四级，然后通过边路抓人或入侵敌方野区扩大经济差。若前期没有抓人机会，应优先控河道资源和推塔节奏。,,,D007
021,韩信,3,团战思路: 韩信团战不适合长时间正面输出，更适合绕后切后排或分带牵制。若敌方多人抱团，应通过带线迫使其分人防守，再寻找单点击杀机会。,,,D007
022,赵云,1,技能介绍-突进: 赵云拥有稳定突进和控制能力，适合打野开团。大招命中后可以衔接二技能和一技能打出爆发，优先针对没有位移的后排英雄。,,,D008
023,赵云,2,出装思路: 赵云可以根据局势选择半肉或输出路线。顺风时提高物理穿透增强秒人能力，逆风时补充防御装备承担开团和吸收伤害的职责。,,,D008
024,赵云,3,节奏打法: 赵云四级后抓人能力明显增强，应围绕暴君、主宰和边路兵线建立节奏。开团前要确认队友能否跟上，否则单独进场容易被集火。,,,D008
025,貂蝉,1,技能介绍-被动: 貂蝉通过技能命中叠加印记，触发真实伤害和回复。她需要在技能范围内持续拉扯，利用二技能躲避关键控制和爆发伤害。,,,D009
026,貂蝉,2,操作技巧: 貂蝉开启大招后技能冷却更短，应围绕大招范围进行走位输出。对抗控制较多阵容时，需要等待敌方控制交出或携带净化提高容错。,,,D009
027,貂蝉,3,团战思路: 貂蝉适合在前排吸收第一波技能后进场，利用持续位移和回复打乱敌方阵型。若被重伤装备限制，应降低正面硬打频率，选择侧翼切入。,,,D009
028,诸葛亮,1,技能介绍-被动: 诸葛亮技能命中敌人会叠加谋略刻印，达到条件后生成法球自动攻击附近目标。对线期要利用一技能和二技能快速叠被动进行消耗。,,,D010
029,诸葛亮,2,技能介绍-大招: 诸葛亮大招适合收割低血量目标，击败目标后会返还冷却。释放前要确认目标血量和敌方队友阻挡位置，避免大招被前排挡掉。,,,D010
030,诸葛亮,3,玩法攻略: 诸葛亮中期游走能力强，可以在清完中路线后支援边路。团战中不要过早突进，等敌方残血出现后再用大招完成连续收割。,,,D010
031,露娜,1,技能介绍-月光标记: 露娜依靠技能和普攻给目标施加月光标记，大招命中标记目标可以刷新冷却。核心是保证每次大招都能命中带标记单位。,,,D011
032,露娜,2,连招说明: 露娜常用连招包括一技能标记接大招，普攻补标记后继续大招，二技能控制并再次刷新。训练时应先保证不断大，再追求复杂连招。,,,D011
033,露娜,3,克制关系: 露娜害怕硬控、沉默和高爆发集火。面对东皇太一、张良等强控制英雄时，应避免先手进场，等待其关键控制技能交出后再切入。,,,D011
034,铠,1,技能介绍-大招: 铠开启大招后获得强化和更高爆发，适合单挑和切后排。对线期可以利用一技能回复和减速换血，等待大招冷却完成后寻找击杀机会。,,,D012
035,铠,2,玩法攻略-边路: 铠在线上要注意兵线位置，利用草丛隐藏二技能起手。面对远程消耗英雄时不要强行追击，优先保证经济和防御塔状态。,,,D012
036,铠,3,团战思路: 铠团战应从侧翼切入，优先威胁敌方射手或法师。若正面开团被控制链限制，容易开大后还未接近目标就被消耗残血。,,,D012
037,花木兰,1,技能介绍-双形态: 花木兰拥有轻剑和重剑两种形态，轻剑负责接近和沉默，重剑负责控制和爆发。切换形态的时机决定她的上限。,,,D013
038,花木兰,2,连招说明: 花木兰常见思路是轻剑快速叠加印记打出沉默，再切重剑接控制和高伤害。操作时要利用草丛和视野差接近目标。,,,D013
039,花木兰,3,对线技巧: 花木兰前期要注意技能命中率和能量节奏。面对坦克英雄时可以通过清线支援扩大作用，面对脆皮边路则可寻找四级后的单杀机会。,,,D013
040,张飞,1,技能介绍-怒气机制: 张飞通过技能积累怒气，满怒后大招变身并获得强力护盾和控制。辅助张飞需要提前积累怒气，避免关键团战时无法开大。,,,D014
041,张飞,2,保护思路: 张飞保护射手时应保留二技能护盾和位移，不要随意离开后排。敌方刺客进场时，可以用技能打断其输出节奏并为射手创造拉开距离的机会。,,,D014
042,张飞,3,开团技巧: 张飞大招适合在狭窄地形或敌方站位密集时释放。若敌方分散，盲目开大可能只控制一个目标，导致后续保护能力下降。,,,D014
043,蔡文姬,1,技能介绍-回复: 蔡文姬以团队回复和控制为核心，适合保护持续输出型射手。对线期要注意蓝量和站位，避免为了给队友回血而被敌方开到。,,,D015
044,蔡文姬,2,团战思路: 蔡文姬团战应站在核心输出附近，利用技能回复和控制维持阵型。若敌方出了重伤装备，治疗效果会降低，需要更谨慎选择接团时机。,,,D015
045,蔡文姬,3,克制关系: 蔡文姬害怕爆发集火和强开团阵容。面对高爆发刺客时，应提前做视野并让队友靠近，避免被绕后后无法保护核心输出。,,,D015
046,王者荣耀通用知识,1,地图资源-暴君: 暴君是前中期重要团队资源，击败后可以帮助队伍建立属性和节奏优势。打暴君前应先处理附近兵线，并确认敌方打野和中路位置。,,,D016
047,王者荣耀通用知识,2,地图资源-主宰: 主宰相关资源通常用于推进和兵线压制。优势方可以通过主宰逼迫敌方回防，再转线推塔或入侵野区。劣势方应优先清线，避免盲目接团。,,,D016
048,王者荣耀通用知识,3,视野机制-草丛: 草丛可以隐藏英雄视野，是蹲人、反蹲和绕后的关键位置。进入无视野草丛前，射手和法师应等待辅助探草，或使用远程技能试探。,,,D017
049,王者荣耀通用知识,4,兵线运营: 兵线决定推塔和转线节奏。优势时应先处理兵线再开龙或入侵，避免击杀敌人后没有兵线无法推塔。劣势时应优先清线拖延时间。,,,D017
050,王者荣耀通用知识,5,阵容搭配: 合理阵容通常需要前排、控制、持续输出、爆发和开团能力。若阵容缺少前排，团战应避免正面硬接，更多通过拉扯、带线和抓单创造机会。,,,D017
